date,ticker,open,high,low,close,label,sessions_num
2020-01-02,FPT,58300.0,59000.0,58000.0,58600.0,0,0
2020-01-03,FPT,58900.0,59100.0,57400.0,57600.0,0,0
2020-01-06,FPT,57100.0,57600.0,56800.0,57000.0,0,0
2020-01-07,FPT,57300.0,58100.0,57000.0,58100.0,0,0
2020-01-08,FPT,57500.0,57700.0,56800.0,56800.0,0,0
2020-01-09,FPT,57300.0,57700.0,57100.0,57600.0,0,0
2020-01-10,FPT,57500.0,57800.0,57100.0,57500.0,0,0
2020-01-13,FPT,57400.0,57600.0,57000.0,57100.0,0,0
2020-01-14,FPT,57100.0,57400.0,57000.0,57000.0,0,0
2020-01-15,FPT,57000.0,57100.0,56800.0,57000.0,0,0
2020-01-16,FPT,57000.0,58200.0,57000.0,58000.0,0,0
2020-01-17,FPT,58000.0,58100.0,57000.0,57600.0,0,0
2020-01-20,FPT,57500.0,58000.0,57200.0,57400.0,0,0
2020-01-21,FPT,57800.0,58000.0,55500.0,55500.0,0,0
2020-01-22,FPT,55000.0,56500.0,54700.0,56500.0,0,0
2020-01-30,FPT,55300.0,55800.0,53900.0,54700.0,0,0
2020-01-31,FPT,54000.0,54900.0,52000.0,52000.0,0,0
2020-02-03,FPT,49600.0,52500.0,49000.0,51500.0,0,0
2020-02-04,FPT,52400.0,52400.0,51000.0,51800.0,0,0
2020-02-05,FPT,52300.0,52800.0,52000.0,52000.0,0,0
2020-02-06,FPT,52500.0,53600.0,51800.0,53600.0,0,0
2020-02-07,FPT,53000.0,53500.0,52800.0,53300.0,0,0
2020-02-10,FPT,52400.0,53000.0,52100.0,52600.0,0,0
2020-02-11,FPT,52900.0,53700.0,52700.0,53600.0,0,0
2020-02-12,FPT,53800.0,54700.0,53700.0,54100.0,0,0
2020-02-13,FPT,54100.0,54500.0,53700.0,54300.0,0,0
2020-02-14,FPT,54100.0,54500.0,54000.0,54500.0,0,0
