date,ticker,open,high,low,close,label,sessions_num
2020-01-02,HPG,23500.0,24000.0,23350.0,24000.0,0,0
2020-01-03,HPG,24200.0,24350.0,24050.0,24150.0,0,0
2020-01-06,HPG,24000.0,24250.0,23850.0,24000.0,0,0
2020-01-07,HPG,24100.0,24200.0,23600.0,23700.0,0,0
2020-01-08,HPG,23500.0,23650.0,23150.0,23450.0,0,0
2020-01-09,HPG,23600.0,24150.0,23600.0,24000.0,0,0
2020-01-10,HPG,24100.0,24550.0,24050.0,24200.0,0,0
2020-01-13,HPG,24200.0,24400.0,24100.0,24250.0,0,0
2020-01-14,HPG,24250.0,25050.0,24200.0,25000.0,0,0
2020-01-15,HPG,25050.0,25350.0,24900.0,25150.0,0,0
2020-01-16,HPG,25000.0,25350.0,24950.0,25300.0,0,0
2020-01-17,HPG,25300.0,25650.0,24900.0,25000.0,0,0
2020-01-20,HPG,25000.0,25500.0,24700.0,25500.0,0,0
2020-01-21,HPG,25750.0,26000.0,25550.0,25850.0,0,0
2020-01-22,HPG,25850.0,26400.0,25850.0,26300.0,0,0
2020-01-30,HPG,25550.0,25900.0,24950.0,25300.0,0,0
2020-01-31,HPG,25000.0,25300.0,24100.0,24100.0,0,0
2020-02-03,HPG,23300.0,24800.0,22700.0,24550.0,0,0
2020-02-04,HPG,24650.0,24800.0,24100.0,24600.0,0,0
2020-02-05,HPG,24850.0,25000.0,24200.0,24450.0,0,0
2020-02-06,HPG,24400.0,25200.0,24300.0,25200.0,0,0
2020-02-07,HPG,25200.0,25300.0,24200.0,24350.0,0,0
2020-02-10,HPG,24000.0,24650.0,23950.0,24350.0,0,0
2020-02-11,HPG,24450.0,24600.0,23450.0,23600.0,0,0
2020-02-12,HPG,23500.0,24150.0,23450.0,23800.0,0,0
2020-02-13,HPG,23750.0,23900.0,23600.0,23700.0,0,0
2020-02-14,HPG,23600.0,23750.0,23350.0,23700.0,0,0
2020-02-17,HPG,23700.0,23850.0,23600.0,23750.0,0,0
2020-02-18,HPG,23850.0,23850.0,23300.0,23300.0,0,0
2020-02-19,HPG,23300.0,23450.0,23100.0,23250.0,0,0
2020-02-20,HPG,23450.0,23750.0,23250.0,23750.0,0,0
2020-02-21,HPG,23750.0,23800.0,23500.0,23550.0,0,0
2020-02-24,HPG,22750.0,23150.0,22700.0,22700.0,0,0
2020-02-25,HPG,22600.0,23100.0,22600.0,23100.0,0,0
2020-02-26,HPG,22750.0,23000.0,22700.0,22750.0,0,0
2020-02-27,HPG,22700.0,23050.0,22700.0,22950.0,0,0
2020-02-28,HPG,22550.0,22800.0,22250.0,22350.0,0,0
2020-03-02,HPG,22200.0,22500.0,22200.0,22300.0,0,0
2020-03-03,HPG,22800.0,22800.0,22300.0,22300.0,0,0
2020-03-04,HPG,22400.0,22600.0,22350.0,22350.0,0,0
2020-03-05,HPG,22600.0,22650.0,22350.0,22350.0,0,0
2020-03-06,HPG,22350.0,22450.0,22250.0,22400.0,0,0
2020-03-09,HPG,20850.0,21550.0,20850.0,20850.0,0,0
2020-03-10,HPG,20500.0,21750.0,20500.0,21650.0,0,0
2020-03-11,HPG,21700.0,21800.0,20150.0,20550.0,0,0
2020-03-12,HPG,19550.0,19800.0,19150.0,19250.0,0,0
2020-03-13,HPG,18050.0,19700.0,17950.0,19050.0,0,0
2020-03-16,HPG,19200.0,19850.0,18950.0,19100.0,0,0
2020-03-17,HPG,18600.0,19300.0,18600.0,19200.0,0,0
2020-03-18,HPG,19400.0,20100.0,19350.0,19700.0,0,0
2020-03-19,HPG,19400.0,19500.0,18900.0,19150.0,0,0
2020-03-20,HPG,19250.0,19300.0,18600.0,18600.0,0,0
2020-03-23,HPG,17400.0,18000.0,17300.0,17300.0,0,0
2020-03-24,HPG,17000.0,17350.0,16650.0,17100.0,0,0
2020-03-25,HPG,17850.0,17850.0,17400.0,17800.0,0,0
2020-03-26,HPG,17550.0,17600.0,16900.0,16950.0,0,0
2020-03-27,HPG,16900.0,17000.0,15800.0,16200.0,0,0
2020-03-30,HPG,15300.0,16700.0,15250.0,16350.0,0,0
2020-03-31,HPG,16350.0,17350.0,15250.0,16850.0,0,0
2020-04-01,HPG,16700.0,17500.0,16650.0,17250.0,0,0
2020-04-03,HPG,17250.0,17700.0,17200.0,17650.0,0,0
2020-04-06,HPG,18150.0,18850.0,17900.0,18850.0,0,0
2020-04-07,HPG,19050.0,19100.0,18250.0,19000.0,0,0
2020-04-08,HPG,18400.0,18800.0,18300.0,18700.0,0,0
2020-04-09,HPG,18800.0,19000.0,18550.0,18550.0,0,0
2020-04-10,HPG,18500.0,19000.0,18300.0,18800.0,0,0
2020-04-13,HPG,18800.0,19500.0,18700.0,19350.0,0,0
2020-04-14,HPG,19300.0,19950.0,19200.0,19950.0,0,0
2020-04-15,HPG,20000.0,20300.0,19950.0,20100.0,0,0
2020-04-16,HPG,19950.0,20400.0,19750.0,20250.0,0,0
2020-04-17,HPG,20250.0,20800.0,20200.0,20700.0,0,0
2020-04-20,HPG,21000.0,21500.0,20550.0,21200.0,0,0
2020-04-21,HPG,20750.0,21250.0,20150.0,20200.0,-2,59
2020-04-22,HPG,20500.0,21300.0,20300.0,20800.0,0,0
2020-04-23,HPG,21300.0,21950.0,21300.0,21600.0,0,0
2020-04-24,HPG,21700.0,22200.0,21300.0,22100.0,0,0
2020-04-27,HPG,22250.0,22600.0,21850.0,21950.0,0,0
2020-04-28,HPG,22000.0,22100.0,21250.0,21400.0,0,0
2020-04-29,HPG,21400.0,21700.0,21000.0,21500.0,0,0
2020-05-04,HPG,21500.0,21550.0,21000.0,21000.0,0,0
2020-05-05,HPG,21400.0,21650.0,21300.0,21400.0,2,25
2020-05-06,HPG,21550.0,22200.0,21500.0,22200.0,0,0
2020-05-07,HPG,22300.0,23600.0,22300.0,23600.0,0,0
2020-05-08,HPG,23800.0,24150.0,23400.0,23400.0,0,0
2020-05-11,HPG,23700.0,24100.0,23300.0,23950.0,0,0
2020-05-12,HPG,23650.0,23900.0,23400.0,23650.0,0,0
2020-05-13,HPG,23450.0,24200.0,23300.0,24100.0,0,0
2020-05-14,HPG,23800.0,24100.0,23700.0,23950.0,0,0
2020-05-15,HPG,23950.0,24050.0,23400.0,23500.0,0,0
2020-05-18,HPG,24450.0,25100.0,24000.0,25100.0,0,0
2020-05-19,HPG,26400.0,26850.0,26050.0,26150.0,0,0
2020-05-20,HPG,26000.0,26600.0,25650.0,26450.0,0,0
2020-05-21,HPG,26350.0,26550.0,26100.0,26500.0,0,0
2020-05-22,HPG,26350.0,27450.0,26250.0,27250.0,0,0
2020-05-25,HPG,27500.0,27800.0,27150.0,27300.0,0,0
2020-05-26,HPG,27350.0,28400.0,27300.0,28400.0,0,0
2020-05-27,HPG,28600.0,28600.0,27200.0,27200.0,0,0
2020-05-28,HPG,27500.0,27600.0,26900.0,27200.0,0,0
2020-05-29,HPG,27300.0,27700.0,27000.0,27400.0,0,0
2020-06-01,HPG,27800.0,27800.0,27450.0,27650.0,0,0
2020-06-02,HPG,27800.0,27800.0,26950.0,27050.0,0,0
2020-06-03,HPG,27050.0,27200.0,26600.0,26950.0,0,0
2020-06-04,HPG,27000.0,27400.0,26600.0,26600.0,0,0
2020-06-05,HPG,26500.0,27300.0,26200.0,27050.0,0,0
