date,ticker,open,high,low,close,label,sessions_num
2020-01-02,STB,10100.0,10300.0,10000.0,10200.0,0,0
2020-01-03,STB,10250.0,10300.0,10150.0,10200.0,0,0
2020-01-06,STB,10100.0,10150.0,10000.0,10050.0,0,0
2020-01-07,STB,10050.0,10150.0,10000.0,10150.0,0,0
2020-01-08,STB,10050.0,10100.0,9970.0,9980.0,0,0
2020-01-09,STB,10100.0,10200.0,10050.0,10150.0,0,0
2020-01-10,STB,10150.0,10500.0,10150.0,10500.0,0,0
2020-01-13,STB,10500.0,10550.0,10300.0,10400.0,0,0
2020-01-14,STB,10400.0,10450.0,10300.0,10300.0,0,0
2020-01-15,STB,10300.0,10350.0,10200.0,10250.0,0,0
2020-01-16,STB,10300.0,10550.0,10300.0,10400.0,0,0
2020-01-17,STB,10450.0,10700.0,10400.0,10600.0,0,0
2020-01-20,STB,10500.0,10750.0,10500.0,10700.0,0,0
2020-01-21,STB,10700.0,11050.0,10700.0,10900.0,0,0
2020-01-22,STB,10900.0,10950.0,10750.0,10900.0,0,0
2020-01-30,STB,10750.0,10800.0,10200.0,10350.0,0,0
2020-01-31,STB,10300.0,10500.0,10200.0,10200.0,0,0
2020-02-03,STB,10000.0,10400.0,9820.0,10250.0,0,0
2020-02-04,STB,10250.0,10400.0,10100.0,10200.0,0,0
2020-02-05,STB,10350.0,10450.0,10250.0,10250.0,0,0
2020-02-06,STB,10300.0,10950.0,10300.0,10950.0,0,0
2020-02-07,STB,11000.0,11450.0,10950.0,11150.0,0,0
2020-02-10,STB,10900.0,11100.0,10800.0,10950.0,0,0
2020-02-11,STB,10950.0,11450.0,10900.0,11350.0,0,0
2020-02-12,STB,11400.0,11800.0,11400.0,11550.0,0,0
2020-02-13,STB,11500.0,11600.0,11300.0,11500.0,0,0
2020-02-14,STB,11600.0,11900.0,11450.0,11600.0,0,0
2020-02-17,STB,11650.0,11850.0,11500.0,11650.0,0,0
2020-02-18,STB,11650.0,11750.0,11350.0,11550.0,0,0
2020-02-19,STB,11400.0,11550.0,11300.0,11400.0,0,0
2020-02-20,STB,11500.0,11550.0,11200.0,11300.0,0,0
2020-02-21,STB,11250.0,11500.0,11200.0,11300.0,0,0
2020-02-24,STB,11000.0,11100.0,10750.0,10850.0,0,0
2020-02-25,STB,10700.0,11150.0,10700.0,11150.0,0,0
2020-02-26,STB,11000.0,11400.0,10950.0,11200.0,0,0
2020-02-27,STB,11300.0,11700.0,11150.0,11650.0,0,0
2020-02-28,STB,11350.0,11750.0,11350.0,11600.0,0,0
2020-03-02,STB,11800.0,12400.0,11750.0,12350.0,0,0
2020-03-03,STB,12600.0,12700.0,12150.0,12250.0,0,0
2020-03-04,STB,12200.0,12600.0,12100.0,12500.0,0,0
2020-03-05,STB,12650.0,12700.0,12200.0,12200.0,0,0
2020-03-06,STB,12100.0,12400.0,12100.0,12250.0,0,0
2020-03-09,STB,11500.0,11700.0,11400.0,11400.0,0,0
2020-03-10,STB,11000.0,11500.0,10850.0,11400.0,0,0
2020-03-11,STB,11450.0,11500.0,10650.0,10650.0,0,0
2020-03-12,STB,10000.0,10250.0,9930.0,9950.0,0,0
2020-03-13,STB,9300.0,10550.0,9280.0,10400.0,0,0
2020-03-16,STB,10400.0,10500.0,9800.0,9990.0,0,0
2020-03-17,STB,9900.0,10200.0,9560.0,10200.0,0,0
