date,ticker,open,high,low,close,label,sessions_num
2024-04-02,VNINDEX,1276.38,1287.04,1268.48,1287.04,0,0
2024-04-03,VNINDEX,1285.3,1288.99,1271.47,1271.47,0,0
2024-04-04,VNINDEX,1271.87,1277.62,1265.12,1268.25,0,0
2024-04-05,VNINDEX,1258.58,1265.14,1253.56,1255.11,0,0
2024-04-08,VNINDEX,1255.37,1258.4,1246.87,1250.35,0,0
2024-04-09,VNINDEX,1252.4,1262.82,1247.7,1262.82,0,0
2024-04-10,VNINDEX,1266.48,1268.72,1258.56,1258.56,0,0
2024-04-11,VNINDEX,1249.88,1262.03,1248.11,1258.2,0,0
2024-04-12,VNINDEX,1262.96,1278.39,1259.5,1276.6,0,0
2024-04-15,VNINDEX,1274.02,1281.81,1216.61,1216.61,0,0
2024-04-16,VNINDEX,1218.64,1222.45,1191.73,1215.68,0,0
2024-04-17,VNINDEX,1221.47,1221.47,1193.01,1193.01,0,0
2024-04-19,VNINDEX,1180.87,1190.96,1165.99,1174.85,0,0
2024-04-22,VNINDEX,1183.77,1193.88,1181.13,1190.22,0,0
2024-04-23,VNINDEX,1190.56,1192.8,1169.61,1177.4,0,0
2024-04-24,VNINDEX,1186.47,1207.61,1185.13,1205.61,0,0
2024-04-25,VNINDEX,1206.25,1208.41,1200.21,1204.97,0,0
2024-04-26,VNINDEX,1199.83,1216.6,1198.73,1209.52,0,0
2024-05-02,VNINDEX,1212.13,1216.36,1206.28,1216.36,0,0
2024-05-03,VNINDEX,1222.54,1225.75,1218.33,1221.03,0,0
2024-05-06,VNINDEX,1226.89,1241.58,1224.22,1241.58,0,0
2024-05-07,VNINDEX,1245.5,1250.63,1240.09,1248.63,0,0
2024-05-08,VNINDEX,1243.61,1251.62,1234.76,1250.46,0,0
2024-05-09,VNINDEX,1252.81,1256.8,1243.29,1248.64,0,0
2024-05-10,VNINDEX,1251.78,1252.5,1237.46,1244.7,0,0
2024-05-13,VNINDEX,1248.19,1249.2,1233.56,1240.18,0,0
2024-05-14,VNINDEX,1246.23,1252.52,1240.88,1243.28,0,0
2024-05-15,VNINDEX,1248.61,1257.92,1248.02,1254.39,0,0
2024-05-16,VNINDEX,1264.51,1271.66,1261.19,1268.78,0,0
2024-05-17,VNINDEX,1270.34,1274.27,1266.32,1273.11,0,0
2024-05-20,VNINDEX,1281.5,1285.19,1277.36,1277.58,0,0
2024-05-21,VNINDEX,1277.85,1281.29,1267.29,1277.14,0,0
2024-05-22,VNINDEX,1280.26,1283.06,1263.87,1266.91,0,0
2024-05-23,VNINDEX,1265.6,1281.03,1262.29,1281.03,0,0
2024-05-24,VNINDEX,1276.68,1285.07,1250.28,1261.93,0,0
