fieldCode,mapEN,mapVN,descriptionEN,descriptionVN,multiplier,unit
__id__,,,,,,
__hashID__,,,,,,
__createdAt__,,,,,,
LocalIndividualBuyValue,Local Individual Buy Value (D),,,GTGD cá nhân trong nước mua (D),,VND
LocalIndividualBuyVolume,Local Individual Buy Volume (D),,,KLGD cá nhân trong nước mua (D),,Shares
LocalIndividualSellDealValue,Local Individual Sell Deal Value (D),,,Tổng GTGD cá nhân trong nước bán thỏa thuận (D),,VND
LocalIndividualSellDealVolume,Local Individual Sell Deal Volume (D),,,Tổng KLGD cá nhân trong nước bán thỏa thuận (D),,Shares
LocalIndividualSellMatchValue,Local Individual Sell Match Value (D),,,Tổng GTGD cá nhân trong nước bán khớp lệnh (D),,VND
LocalIndividualSellMatchVolume,Local Individual Sell Match Volume (D),,,Tổng KLGD cá nhân trong nước bán khớp lệnh (D),,Shares
LocalIndividualSellValue,Local Individual Sell Value (D),,,GTGD cá nhân trong nước bán (D),,VND
LocalIndividualSellVolume,Local Individual Sell Volume (D),,,KLGD cá nhân trong nước bán (D),,Shares
LocalIndividualValue,Local Individual Value (D),,,GTGD cá nhân trong nước (D),,VND
LocalIndividualVolume,Local Individual Volume (D),,,KLGD cá nhân trong nước (D),,Shares
LocalInstitutionalBuyDealValue,Local Institutional Buy Deal Value (D),,,Tổng GTGD tổ chức trong nước mua thỏa thuận (D),,VND
LocalInstitutionalBuyDealVolume,Local Institutional Buy Deal Volume (D),,,Tổng KLGD tổ chức trong nước mua thỏa thuận (D),,Shares
LocalInstitutionalBuyMatchValue,Local Institutional Buy Match Value (D),,,Tổng GTGD tổ chức trong nước mua khớp lệnh (D),,VND
LocalInstitutionalBuyMatchVolume,Local Institutional Buy Match Volume (D),,,Tổng KLGD tổ chức trong nước mua khớp lệnh (D),,Shares
LocalInstitutionalBuyValue,Local Institutional Buy Value (D),,,GTGD tổ chức trong nước mua (D),,VND
LocalInstitutionalBuyVolume,Local Institutional Buy Volume (D),,,KLGD tổ chức trong nước mua (D),,Shares
LocalInstitutionalSellDealValue,Local Institutional Sell Deal Value (D),,,Tổng GTGD tổ chức trong nước bán thỏa thuận (D),,VND
LocalInstitutionalSellDealVolume,Local Institutional Sell Deal Volume (D),,,Tổng KLGD tổ chức trong nước bán thỏa thuận (D),,Shares
LocalInstitutionalSellMatchValue,Local Institutional Sell Match Value (D),,,Tổng GTGD tổ chức trong nước bán khớp lệnh (D),,VND
LocalInstitutionalSellMatchVolume,Local Institutional Sell Match Volume (D),,,Tổng KLGD tổ chức trong nước bán khớp lệnh (D),,Shares
LocalInstitutionalSellValue,Local Institutional Sell Value (D),,,GTGD tổ chức trong nước bán (D),,VND
LocalInstitutionalSellVolume,Local Institutional Sell Volume (D),,,KLGD tổ chức trong nước bán (D),,Shares
LocalInstitutionalValue,Local Institutional Value (D),,,GTGD tổ chức trong nước (D),,VND
LocalInstitutionalVolume,Local Institutional Volume (D),,,KLGD tổ chức trong nước (D),,Shares
LowPrice,Lowest (D),,,Giá thấp nhất (D),,VND
open,Open (D),,,Giá mở cửa (D),,VND
ReferencePrice,Reference (D),,,Giá tham chiếu (D),,VND
TotalBidCount,Total Buy Trade Orders (D),,,Số lệnh đặt mua (D),,
TotalBidVolume,Total Buy Trade Volume (D),,,Khối lượng đặt mua (D),,Shares
TotalBuyValue,TotalProprietary Buy Value (D),,,Giá trị tự doanh mua (D),,VND
TotalBuyVolume,Total Proprietary Buy Volume (D),,,Khối lượng tự doanh mua (D),,Shares
TotalDealBuyValue,Proprietary Buy Deal Value (D),,,Giá trị tự doanh mua thỏa thuận (D),,VND
TotalDealBuyVolume,Proprietary Buy Deal Volume (D),,,Khối lượng tự doanh mua thỏa thuận (D),,Shares
TotalDealSellValue,Proprietary Sell Deal Value (D),,,Giá trị tự doanh bán thỏa thuận (D),,VND
TotalDealSellVolume,Proprietary Sell Deal Volume (D),,,Khối lượng tự doanh bán thỏa thuận (D),,Shares
TotalDealValue,Put-through Value (D),,,Giá trị thỏa thuận (D),,VND
TotalDealVolume,Put-through Volume (D),,,Khối lượng thỏa thuận (D),,Shares
TotalMatchBuyValue,Proprietary Buy Matched Value (D),,,Giá trị tự doanh mua khớp lệnh (D),,VND
TotalMatchBuyVolume,Proprietary Buy Matched Volume (D),,,Khối lượng tự doanh mua khớp lệnh (D),,Shares
TotalMatchSellValue,Proprietary Sell Matched Value (D),,,Giá trị tự doanh bán khớp lệnh (D),,VND
TotalMatchSellVolume,Proprietary Sell Matched Volume (D),,,Khối lượng tự doanh bán khớp lệnh (D),,Shares
TotalMatchValue,Matching Value (D),,,Giá trị khớp lệnh (D),,VND
TotalMatchVolume,Matching Volume (D),,,Khối lượng khớp lệnh (D),,Shares
TotalOfferCount,Total Sell Trade Orders (D),,,Số lệnh đặt bán (D),,
TotalOfferVolume,Total Sell Trade Volume (D),,,Khối lượng đặt bán (D),,Shares
TotalSellValue,Total Proprietary Sell Value (D),,,Giá trị tự doanh bán (D),,VND
TotalSellVolume,Total Proprietary Sell Volume (D),,,Khối lượng tự doanh bán (D),,Shares
TotalValue,Total trading value (D),,,Tổng giá trị giao dịch (D),,VND
TotalVolume,Total trading volume (D),,,Tổng khối lượng giao dịch (D),,Shares
RateAdjusted,Adjusted Rate (D),,,,100,%
